text,true,predicted
the speaker said home out loud,fear,disgust
the speaker said mess out loud,ps,disgust
the speaker said mill out loud,angry,disgust
the speaker said which out loud,ps,disgust
the speaker said tough out loud,angry,disgust
the speaker said bite out loud,ps,disgust
the speaker said tape out loud,angry,disgust
the speaker said whip out loud,ps,disgust
the speaker said such out loud,sad,disgust
the speaker said vote out loud,sad,disgust
the speaker said doll out loud,angry,disgust
the speaker said late out loud,ps,disgust
the speaker said yes out loud,angry,disgust
the speaker said date out loud,fear,disgust
the speaker said haze out loud,sad,disgust
the speaker said sail out loud,angry,disgust
the speaker said hole out loud,angry,disgust
the speaker said page out loud,happy,disgust
the speaker said dip out loud,sad,disgust
the speaker said deep out loud,neutral,disgust
